Video,Start,End,Fullpath,Done
Auklab1_TRI3_2023-07-03_04.00.00.mp4,04:08:30,04:17:30,,x
Auklab1_TRI3_2023-07-03_03.00.00.mp4,03:29:55,03:30:15,,x
Auklab1_TRI3_2023-07-03_05.00.00.mp4,05:09:30,05:12:59,,
Auklab1_BONDEN6_2022-07-02_04.00.00.mp4, '04:02:14', '04:03:29',,x
Auklab1_BONDEN6_2022-07-02_04.00.00.mp4, '04:07:12', '04:10:55',,x
Auklab1_BONDEN6_2022-07-02_04.00.00.mp4, '04:11:32', '04:12:02',,x
Auklab1_BONDEN6_2022-07-02_04.00.00.mp4, '04:32:54', '04:33:10',,x
Auklab1_BONDEN6_2022-07-02_04.00.00.mp4, '04:54:00', '04:54:15',,x
Auklab1_BONDEN6_2022-07-02_05.00.00.mp4, '05:44:23', '05:44:40',,x
Auklab1_ROST6_2022-07-02_04.00.00.mp4, '04:09:44', '04:10:26',,x
Auklab1_ROST6_2022-07-02_05.00.00.mp4, '05:03:57', '05:04:06',,x
Auklab1_ROST6_2022-07-02_05.00.00.mp4, '05:26:25', '05:28:50',,x
Auklab1_FAR6_2022-07-02_04.00.00.mp4, '04:46:44', '04:58:58',,x
Auklab1_FAR6_2022-07-02_03.00.00.mp4, '03:44:24', '03:46:17',,x
Auklab1_ROST3_2022-07-02_04.00.00.mp4, '04:10:25', '04:10:37',,x
Auklab1_ROST3_2022-07-02_04.00.00.mp4, '04:57:33', '04:58:47',,x
Auklab1_ROST3_2022-07-02_03.00.00.mp4, '03:35:48', '03:36:03',,x
Auklab1_TRI3_2022-07-02_03.00.00.mp4, '03:36:30', '03:36:40',,x
Auklab1_TRI6_2022-07-02_03.00.00.mp4, '03:00:00', '03:06:15',,x
Auklab1_ROST3_2023-07-03_04.00.00.mp4, '04:12:50', '04:13:05',,x
00020.MTS,20:15,20:20,,x
Auklab1_FAR3_2022-07-08_00.00.00.mp4.csv,'00:05:00', '00:06:00',,
Auklab1_FAR3_2022-07-08_02.00.00.mp4.csv,'02:35:40', '02:36:00',,
Auklab1_FAR3_2022-07-08_03.00.00.mp4.csv,'03:48:00', '03:50:00',,
Auklab1_FAR3_2022-07-08_04.00.00.mp4.csv,'04:03:00', '04:04:00',,
Auklab1_FAR3_2022-07-08_04.00.00.mp4.csv,'04:16:45', '04:17:05',,
Auklab1_FAR3_2022-07-08_04.00.00.mp4.csv,'04:28:00', '04:29:00',,
Auklab1_FAR3_2022-07-08_04.00.00.mp4.csv,'04:46:00', '04:46:35',,
Auklab1_FAR3_2022-07-08_05.00.00.mp4.csv,'05:02:30', '05:03:00',,
Auklab1_FAR3_2022-07-08_05.00.00.mp4.csv,'05:09:20', '05:09:40',,
Auklab1_FAR3_2022-07-08_05.00.00.mp4.csv,'05:09:20', '05:09:40',,
Auklab1_FAR3_2022-07-08_05.00.00.mp4.csv,'05:20:30', '05:21:20',,
Auklab1_FAR3_2022-07-08_05.00.00.mp4.csv,'05:38:30', '05:38:35',,
Auklab1_FAR3_2022-07-08_05.00.00.mp4.csv,'05:48:25', '05:48:50',,
Auklab1_FAR3_2022-07-08_05.00.00.mp4.csv,'05:59:30', '05:59:40',,




